isbn13,title,author,cover_url,saved_path,status
9781612130580,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,,,not_found
9780349113910,Me Talk Pretty One Day,David Sedaris,,,not_found
9780060786500,The Poisonwood Bible,Barbara Kingsolver,,,not_found
9780307265430,The Road,Cormac McCarthy,,,not_found
9780140449270,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",,,not_found
,Lolita,"Vladimir Nabokov, Craig Raine",,,not_found
9780007524270,"Allegiant (Divergent, #3)",Veronica Roth,,,not_found
9780307269980,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",https://covers.openlibrary.org/b/isbn/9780307269980-L.jpg,covers/9780307269980.jpg,ok_openlibrary
9780553381700,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,,,not_found
9780751529810,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",http://books.google.com/books/content?id=LXkCKQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780751529810.jpg,ok_googlebooks
9780099408390,Where the Wild Things Are,Maurice Sendak,https://covers.openlibrary.org/b/isbn/9780099408390-L.jpg,covers/9780099408390.jpg,ok_openlibrary
9780446693810,A Walk to Remember,Nicholas Sparks,,,not_found
9780440241420,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,,,not_found
9780143037150,The Memory Keeper's Daughter,Kim Edwards,,,not_found
9780670026610,"Me Before You (Me Before You, #1)",Jojo Moyes,,,not_found
9780143038090,The Joy Luck Club,Amy Tan,http://books.google.com/books/content?id=2mgnEzzaJrIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780143038090.jpg,ok_googlebooks
9780385729340,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,http://books.google.com/books/content?id=6MOtbMdy59QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780385729340.jpg,ok_googlebooks
9780439244190,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",https://covers.openlibrary.org/b/isbn/9780439244190-L.jpg,covers/9780439244190.jpg,ok_openlibrary
9780684833390,Catch-22,Joseph Heller,,,not_found
9780385490820,The Handmaid's Tale,Margaret Atwood,,,not_found
9780451525260,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",https://covers.openlibrary.org/b/isbn/9780451525260-L.jpg,covers/9780451525260.jpg,ok_openlibrary
9780440498060,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,,,not_found
9780312422160,Middlesex,Jeffrey Eugenides,,,not_found
9780143039560,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",,,not_found
9781451648540,Steve Jobs,Walter Isaacson,http://books.google.com/books/content?id=8U2oAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9781451648540.jpg,ok_googlebooks
9780060987110,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",,,not_found
9780521618750,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",,,not_found
9780582418270,"The Firm (Penguin Readers, Level 5)",John Grisham,,,not_found
9780142000660,The Grapes of Wrath,John Steinbeck,http://books.google.com/books/content?id=DoxPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780142000660.jpg,ok_googlebooks
9780316098340,Room,Emma Donoghue,,,not_found
9781416914300,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,http://books.google.com/books/content?id=nwXmHuuTtxYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9781416914300.jpg,ok_googlebooks
9780451528830,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,http://books.google.com/books/content?id=pceNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780451528830.jpg,ok_googlebooks
9780340839940,Dune (Dune Chronicles #1),Frank Herbert,,,not_found
9780451163970,One Flew Over the Cuckoo's Nest,Ken Kesey,,,not_found
9780316346630,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,,,not_found
9780440242950,"Outlander (Outlander, #1)",Diana Gabaldon,,,not_found
9780060759960,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,,,not_found
9781594744760,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,http://books.google.com/books/content?id=rkeQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9781594744760.jpg,ok_googlebooks
9780307270000,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",,,not_found
9780142437260,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",,,not_found
9780553573430,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,,,not_found
9781401308580,The Five People You Meet in Heaven,Mitch Albom,,,not_found
9780684830490,The Old Man and the Sea,Ernest Hemingway,https://covers.openlibrary.org/b/isbn/9780684830490-L.jpg,covers/9780684830490.jpg,ok_openlibrary
9780451207140,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,,,not_found
9780804139020,The Martian,Andy Weir,,,not_found
9781476746590,All the Light We Cannot See,Anthony Doerr,,,not_found
,The Stranger,"Albert Camus, Matthew    Ward",,,not_found
9781400064170,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,,not_found
9780312353770,The Red Tent,Anita Diamant,http://books.google.com/books/content?id=i2u3PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780312353770.jpg,ok_googlebooks
9780671027380,Deception Point,Dan Brown,,,not_found
9780316055440,The Goldfinch,Donna Tartt,,,not_found
9780786856860,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,,,not_found
9781595141710,Thirteen Reasons Why,Jay Asher,,,not_found
9780312321180,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,,,not_found
9780743477110,Macbeth,William Shakespeare,,,not_found
9780446528050,Dear John,Nicholas Sparks,,,not_found
9780192833590,Great Expectations,Charles Dickens,http://books.google.com/books/content?id=HByVN01euAAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780192833590.jpg,ok_googlebooks
9781416914300,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,,,not_found
9780618346260,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,,,not_found
9780394800160,Green Eggs and Ham,"Dr. Seuss, לאה נאור",,,not_found
9780452287020,Girl with a Pearl Earring,Tracy Chevalier,https://covers.openlibrary.org/b/isbn/9780452287020-L.jpg,covers/9780452287020.jpg,ok_openlibrary
9781423101470,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,,not_found
9781423113390,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,,,not_found
9780142403880,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",,,not_found
9780525421030,"If I Stay (If I Stay, #1)",Gayle Forman,https://covers.openlibrary.org/b/isbn/9780525421030-L.jpg,covers/9780525421030.jpg,ok_openlibrary
9781250012580,Eleanor & Park,Rainbow Rowell,,,not_found
9780553582020,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,,,not_found
9780747263750,"American Gods (American Gods, #1)",Neil Gaiman,,,not_found
9780525423640,"Matched (Matched, #1)",Ally Condie,,,not_found
9780385199580,The Stand,"Stephen King, Bernie Wrightson",,,not_found
9780345339740,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,,,not_found
9780141439590,Emma,"Jane Austen, Fiona Stafford",,,not_found
,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,,not_found
9780451169520,It,Stephen King,http://books.google.com/books/content?id=0ovrrHwi2JMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780451169520.jpg,ok_googlebooks
9780446547570,The Last Song,Nicholas Sparks,,,not_found
9780393312840,A Clockwork Orange,Anthony Burgess,,,not_found
9780739380340,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,,,not_found
9780061148510,The Bell Jar,Sylvia Plath,http://books.google.com/books/content?id=kDPYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780061148510.jpg,ok_googlebooks
9780345803920,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",,,not_found
9780552151700,Digital Fortress,Dan Brown,,,not_found
9780553208850,Siddhartha,"Hermann Hesse, Hilda Rosner",http://books.google.com/books/content?id=tFA2VWiKaKAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780553208850.jpg,ok_googlebooks
9780679745590,In Cold Blood,Truman Capote,,,not_found
9780143058140,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",,,not_found
9780007205230,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,,,not_found
9780141301070,Matilda,"Roald Dahl, Quentin Blake",,,not_found
9780316042670,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",,,not_found
9781416975860,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,,,not_found
,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,,,not_found
9780743227440,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,,,not_found
9780964729230,The Shack,William Paul Young,https://covers.openlibrary.org/b/isbn/9780964729230-L.jpg,covers/9780964729230.jpg,ok_openlibrary
9780689865380,"Uglies (Uglies, #1)",Scott Westerfeld,,,not_found
9780307592740,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,http://books.google.com/books/content?id=t-wXnNQ2NawC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780307592740.jpg,ok_googlebooks
9780142437250,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",,,not_found
9780756404080,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,,,not_found
9780618640160,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,,,not_found
9780930289230,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",,,not_found
9780441008540,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,http://books.google.com/books/content?id=lyAVyevfohEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780441008540.jpg,ok_googlebooks
9780385340990,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",,,not_found
9780316017920,Outliers: The Story of Success,Malcolm Gladwell,,,not_found
9780393327340,Fight Club,Chuck Palahniuk,,,not_found
9780671727800,The Color Purple,Alice Walker,,,not_found
9780739461200,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,,,not_found
9780385504220,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,,,not_found
9780312330870,And Then There Were None,Agatha Christie,,,not_found
9780345476880,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,,,not_found
9781416989420,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,,,not_found
9780385534640,The Night Circus,Erin Morgenstern,,,not_found
9780062059930,"The Selection (The Selection, #1)",Kiera Cass,,,not_found
9780312362090,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,,,not_found
9781400052170,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,,not_found
9780099446780,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,,,not_found
9781595141740,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,,,not_found
9780316010660,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,,,not_found
9781554681720,The Art of Racing in the Rain,Garth Stein,,,not_found
9781561797460,A Christmas Carol,Charles Dickens,,,not_found
9780307887440,Ready Player One,Ernest Cline,,,not_found
9780425263910,"Bared to You (Crossfire, #1)",Sylvia Day,,,not_found
9780141382890,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,https://covers.openlibrary.org/b/isbn/9780141382890-L.jpg,covers/9780141382890.jpg,ok_openlibrary
9780553213690,The Metamorphosis,"Franz Kafka, Stanley Corngold",https://covers.openlibrary.org/b/isbn/9780553213690-L.jpg,covers/9780553213690.jpg,ok_openlibrary
9781558743660,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,,,not_found
9780385721790,Atonement,Ian McEwan,https://covers.openlibrary.org/b/isbn/9780385721790-L.jpg,covers/9780385721790.jpg,ok_openlibrary
9780385339090,The Client,John Grisham,http://books.google.com/books/content?id=m9UOzU4jBWUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780385339090.jpg,ok_googlebooks
9780316043140,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,,,not_found
9780066238500,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",https://covers.openlibrary.org/b/isbn/9780066238500-L.jpg,covers/9780066238500.jpg,ok_openlibrary
9780752864330,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,,,not_found
9780385738930,"Fallen (Fallen, #1)",Lauren Kate,,,not_found
9780307341560,Dark Places,Gillian Flynn,,,not_found
9780142000660,East of Eden,John Steinbeck,,,not_found
9780192802640,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",,,not_found
9780451527740,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",,,not_found
9780786817870,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,https://covers.openlibrary.org/b/isbn/9780786817870-L.jpg,covers/9780786817870.jpg,ok_openlibrary
9780312370830,Sarah's Key,Tatiana de Rosnay,,,not_found
9780312291630,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",,,not_found
9780452284690,"The Gunslinger (The Dark Tower, #1)",Stephen King,,,not_found
9780141310890,Speak,Laurie Halse Anderson,,,not_found
9780385494790,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,,not_found
9780399159340,The Husband's Secret,Liane Moriarty,,,not_found
9781416524300,Carrie,Stephen King,,,not_found
9780307346600,World War Z: An Oral History of the Zombie War,Max Brooks,,,not_found
9780312422270,Running with Scissors,Augusten Burroughs,,,not_found
9780440227530,Number the Stars,Lois Lowry,,,not_found
9780385537860,"Inferno (Robert Langdon, #4)",Dan Brown,,,not_found
9780446692630,"Along Came a Spider (Alex Cross, #1)",James Patterson,,,not_found
9780439366780,Bridge to Terabithia,Katherine Paterson,,,not_found
9780743477540,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",http://books.google.com/books/content?id=axN5DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,covers/9780743477540.jpg,ok_googlebooks
9780312360270,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",,,not_found
9780618711660,Extremely Loud and Incredibly Close,Jonathan Safran Foer,,,not_found
9780307341550,Sharp Objects,Gillian Flynn,,,not_found
9780743269510,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,not_found
9780450417400,Misery,Stephen King,,,not_found
9780385738750,"The Scorch Trials (Maze Runner, #2)",James Dashner,https://covers.openlibrary.org/b/isbn/9780385738750-L.jpg,covers/9780385738750.jpg,ok_openlibrary
9780312641890,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,,,not_found
9780545123270,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,http://books.google.com/books/content?id=nZyymAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780545123270.jpg,ok_googlebooks
9780316206850,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",,,not_found
9780394800010,The Cat in the Hat,Dr. Seuss,,,not_found
9780143038250,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",,,not_found
9780452011880,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",,,not_found
9780143034900,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",,,not_found
9780671723650,How to Win Friends and Influence People,Dale Carnegie,,,not_found
9780375869020,Wonder,R.J. Palacio,https://covers.openlibrary.org/b/isbn/9780375869020-L.jpg,covers/9780375869020.jpg,ok_openlibrary
9780517223630,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",,,not_found
9780061120080,A Tree Grows in Brooklyn,Betty  Smith,http://books.google.com/books/content?id=ncuX8p2xLIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780061120080.jpg,ok_googlebooks
9780767900390,Under the Tuscan Sun,Frances Mayes,,,not_found
9780743297330,The Sun Also Rises,Ernest Hemingway,,,not_found
9780590920680,Ella Enchanted,Gail Carson Levine,,,not_found
9780399167060,Big Little Lies,Liane Moriarty,,,not_found
9780446677390,"Kiss the Girls (Alex Cross, #2)",James Patterson,,,not_found
9780312577220,The Nightingale,Kristin Hannah,,,not_found
9781400078780,Never Let Me Go,Kazuo Ishiguro,,,not_found
9780553803720,Foundation (Foundation #1),Isaac Asimov,http://books.google.com/books/content?id=g5ZaPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780553803720.jpg,ok_googlebooks
9780156030300,Flowers for Algernon,Daniel Keyes,,,not_found
9780451205770,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",,,not_found
9780525476890,An Abundance of Katherines,John Green,,,not_found
9780061726840,"Delirium (Delirium, #1)",Lauren Oliver,http://books.google.com/books/content?id=f8-qHCMawawC&printsec=frontcover&img=1&zoom=1&source=gbs_api,covers/9780061726840.jpg,ok_googlebooks
9781400034680,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",https://covers.openlibrary.org/b/isbn/9781400034680-L.jpg,covers/9781400034680.jpg,ok_openlibrary
